Well,Plate,Compound,Concentration,Replicate,t_0,t_2.08,t_4.16,t_6.24,t_8.32,t_10.4,t_12.48,MIC,Smiles
A03,111-DR1,Z27542156,50,D,0,0.130220385235306,0.434067950784354,0.625568517306864,0.732808834559469,0.840049151812074,0.947289469064679,Inactive,[O-][N+](=O)C1=CC=C(S1)C(=O)NCC=2C=CC=3OCCOC3C2
A04,111-DR1,Z27542156,12.5,D,0,0.171073839426775,0.518328200054259,0.651101926176532,0.778768970524871,0.901329333099277,1.01878301389975,Inactive,[O-][N+](=O)C1=CC=C(S1)C(=O)NCC=2C=CC=3OCCOC3C2
A05,111-DR1,Z27542156,3.13,D,0,0.181287202974642,0.543861608923926,0.668975312385299,0.801749038507572,0.926862741968945,1.03920974099548,Inactive,[O-][N+](=O)C1=CC=C(S1)C(=O)NCC=2C=CC=3OCCOC3C2
A06,111-DR1,Z27542156,0.781,D,0,0.194053907409476,0.55662831335876,0.679188675933166,0.804302379394539,0.931969423742878,1.03920974099548,Inactive,[O-][N+](=O)C1=CC=C(S1)C(=O)NCC=2C=CC=3OCCOC3C2
A07,111-DR1,Z27542156,0.2,D,0,0.194053907409476,0.571948358680561,0.686848698594067,0.814515742942406,0.939629446403779,1.04942310454335,Inactive,[O-][N+](=O)C1=CC=C(S1)C(=O)NCC=2C=CC=3OCCOC3C2
A08,111-DR1,Z1966542207,50,D,0,0.20682061184431,0.554074972471794,0.671528653272266,0.794089015846672,0.916649378421078,1.02644303656065,Inactive,COCCS(=O)(=O)NC=1C=CC=CC1C2=NC=C3CCCCN23
A09,111-DR1,Z1966542207,12.5,D,0,0.196607248296443,0.538754927149993,0.658761948837432,0.791535674959705,0.916649378421078,1.02899637744762,Inactive,COCCS(=O)(=O)NC=1C=CC=CC1C2=NC=C3CCCCN23
A10,111-DR1,Z1966542207,3.13,D,0,0.20682061184431,0.577055040454495,0.689402039481034,0.81962242471634,0.942182787290746,1.05197644543032,Inactive,COCCS(=O)(=O)NC=1C=CC=CC1C2=NC=C3CCCCN23
A11,111-DR1,Z1966542207,0.781,D,0,0.191500566522509,0.55662831335876,0.691955380368,0.822175765603307,0.949842809951646,1.06218980897818,Inactive,COCCS(=O)(=O)NC=1C=CC=CC1C2=NC=C3CCCCN23
A12,111-DR1,Z1966542207,0.2,D,0,0.20682061184431,0.554074972471794,0.681742016820133,0.809409061168473,0.937076105516812,1.05197644543032,Inactive,COCCS(=O)(=O)NC=1C=CC=CC1C2=NC=C3CCCCN23
A13,111-DR1,Z999961704,50,D,0,0.19916058918341,0.569395017793594,0.691955380368,0.814515742942406,0.942182787290746,1.05197644543032,Inactive,CC1=CC=C(C)N1C2CCN(CC2)C(=O)C3=C(C)OC(C)=C3S(=O)(=O)N
A14,111-DR1,Z999961704,12.5,D,0,0.209373952731277,0.564288336019661,0.691955380368,0.81962242471634,0.942182787290746,1.05452978631728,Inactive,CC1=CC=C(C)N1C2CCN(CC2)C(=O)C3=C(C)OC(C)=C3S(=O)(=O)N
A15,111-DR1,Z999961704,3.13,D,0,0.20682061184431,0.564288336019661,0.686848698594067,0.814515742942406,0.937076105516812,1.04431642276942,Inactive,CC1=CC=C(C)N1C2CCN(CC2)C(=O)C3=C(C)OC(C)=C3S(=O)(=O)N
A16,111-DR1,Z999961704,0.781,D,0,0.20682061184431,0.54896829069786,0.679188675933166,0.809409061168473,0.926862741968945,1.03665640010852,Inactive,CC1=CC=C(C)N1C2CCN(CC2)C(=O)C3=C(C)OC(C)=C3S(=O)(=O)N
