"","Well","Replicate","Compound","t_0","t_6","t_12","Smiles","Plate_ID","Concentration"
"1","A01","OD_A","DMSO",0,0.584807457366157,1.15033554800596,"","1886318-Y12-A081",50
"2","A02","OD_A","Ciprofloxacin",0.00321322778772612,0.00321322778772612,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A081",50
"3","A23","OD_A","DMSO",0,0.552675179488896,1.09892390340234,"","1886318-Y12-A081",50
"4","A24","OD_A","DMSO",0,0.552675179488896,1.11177681455324,"","1886318-Y12-A081",50
"5","B01","OD_A","DMSO",0,0.60730005188024,1.13748263685505,"","1886318-Y12-A081",50
"6","B02","OD_A","Ciprofloxacin",0.00642645557545226,0.00642645557545226,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A081",50
"7","B23","OD_A","DMSO",0,0.517329673823908,1.04751225879872,"","1886318-Y12-A081",50
"8","B24","OD_A","DMSO",0,0.50768999046073,1.044299031011,"","1886318-Y12-A081",50
"9","C01","OD_A","DMSO",0,0.60730005188024,1.16640168694459,"","1886318-Y12-A081",50
"10","C02","OD_A","Ciprofloxacin",0.00963968336317841,0.00321322778772612,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A081",50
"11","C23","OD_A","DMSO",0,0.472344484795743,0.93183605844058,"","1886318-Y12-A081",50
"12","C24","OD_A","DMSO",0,0.501263534885278,1.05393871437417,"","1886318-Y12-A081",50
"13","D01","OD_A","DMSO",0,0.784027580205178,1.2660117483641,"","1886318-Y12-A081",50
"14","D02","OD_A","Ciprofloxacin",0.0257058223018091,0.00321322778772614,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A081",50
"15","D23","OD_A","DMSO",0,0.501263534885278,0.986460930831925,"","1886318-Y12-A081",50
"16","D24","OD_A","DMSO",0,0.498050307097552,1.00574029755828,"","1886318-Y12-A081",50
"17","E01","OD_A","DMSO",0,0.575167774002979,1.08607099225144,"","1886318-Y12-A081",50
"18","E02","OD_A","Ciprofloxacin",0.00321322778772614,0.00321322778772614,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A081",50
"19","E23","OD_A","DMSO",0,0.446638662493933,0.912556691714224,"","1886318-Y12-A081",50
"20","E24","OD_A","DMSO",0,0.462704801432564,0.976821247468746,"","1886318-Y12-A081",50
"21","F01","OD_A","DMSO",0,0.562314862852074,1.08285776446371,"","1886318-Y12-A081",50
"22","F02","OD_A","Ciprofloxacin",0.00642645557545228,0.00642645557545228,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A081",50
"23","F23","OD_A","DMSO",0,0.456278345857112,0.944688969591485,"","1886318-Y12-A081",50
"24","F24","OD_A","DMSO",0,0.46591802922029,0.996100614195103,"","1886318-Y12-A081",50
"25","G01","OD_A","DMSO",0,0.562314862852074,1.10535035897779,"","1886318-Y12-A081",50
"26","G02","OD_A","Ciprofloxacin",0,0.00321322778772614,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A081",50
"27","G23","OD_A","DMSO",0,0.433785751343029,0.935049286228307,"","1886318-Y12-A081",50
"28","G24","OD_A","DMSO",0,0.472344484795743,1.00895352534601,"","1886318-Y12-A081",50
"29","H01","OD_A","DMSO",0,0.571954546215253,1.10213713119007,"","1886318-Y12-A081",50
"30","H02","OD_A","Ciprofloxacin",0.00642645557545228,0.00321322778772614,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A081",50
"31","H23","OD_A","DMSO",0,0.722976252238381,1.14069586464278,"","1886318-Y12-A081",50
"32","H24","OD_A","DMSO",0,0.645858785332954,0.980034475256472,"","1886318-Y12-A081",50
"33","I01","OD_A","DMSO",0,0.54946195170117,1.11499004234097,"","1886318-Y12-A081",50
"34","I02","OD_A","DMSO",0,0.494837079309825,0.992887386407377,"","1886318-Y12-A081",50
"35","I23","OD_A","Ciprofloxacin",0.00642645557545228,0.00321322778772614,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A081",50
"36","I24","OD_A","DMSO",0,0.629792646394323,1.06036516994963,"","1886318-Y12-A081",50
"37","J01","OD_A","DMSO",0,0.581594229578431,1.12784295349188,"","1886318-Y12-A081",50
"38","J02","OD_A","DMSO",0,0.751895302327917,1.1310561812796,"","1886318-Y12-A081",50
"39","J23","OD_A","Ciprofloxacin",0.00642645557545228,0,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A081",50
"40","J24","OD_A","DMSO",0,0.475557712583469,1.06036516994963,"","1886318-Y12-A081",50
"41","K01","OD_A","DMSO",0,0.571954546215253,1.13426940906733,"","1886318-Y12-A081",50
"42","K02","OD_A","DMSO",0,1.09892390340234,1.37204826535906,"","1886318-Y12-A081",50
"43","K23","OD_A","Ciprofloxacin",0,0.00321322778772614,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A081",50
"44","K24","OD_A","DMSO",0,0.793667263568356,1.10535035897779,"","1886318-Y12-A081",50
"45","L01","OD_A","DMSO",0,0.575167774002979,1.14390909243051,"","1886318-Y12-A081",50
"46","L02","OD_A","DMSO",0,0.488410623734373,0.976821247468746,"","1886318-Y12-A081",50
"47","L23","OD_A","Ciprofloxacin",0.00321322778772614,0,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A081",50
"48","L24","OD_A","DMSO",0,0.867571502686058,1.08928422003916,"","1886318-Y12-A081",50
"49","M01","OD_A","DMSO",0,0.610513279667967,1.10535035897779,"","1886318-Y12-A081",50
"50","M02","OD_A","DMSO",0,0.510903218248456,1.01537998092146,"","1886318-Y12-A081",50
"51","M23","OD_A","Ciprofloxacin",0,0.00963968336317843,0.00642645557545228,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A081",50
"52","M24","OD_A","DMSO",0,0.819373085870166,1.13748263685505,"","1886318-Y12-A081",50
"53","N01","OD_A","DMSO",0,0.581594229578431,1.11499004234097,"","1886318-Y12-A081",50
"54","N02","OD_A","DMSO",0,0.453065118069386,0.931836058440581,"","1886318-Y12-A081",50
"55","N23","OD_A","Ciprofloxacin",0.00321322778772614,0.00321322778772614,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A081",50
"56","N24","OD_A","DMSO",0,0.983247703044199,1.14069586464278,"","1886318-Y12-A081",50
"57","O01","OD_A","DMSO",0,0.562314862852074,1.09249744782689,"","1886318-Y12-A081",50
"58","O02","OD_A","DMSO",0,0.491623851522099,0.967181564105568,"","1886318-Y12-A081",50
"59","O23","OD_A","Ciprofloxacin",0,0,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A081",50
"60","O24","OD_A","DMSO",0,0.665138152059311,1.05393871437417,"","1886318-Y12-A081",50
"61","P01","OD_A","DMSO",0,0.620152963031145,1.24030592606229,"","1886318-Y12-A081",50
"62","P02","OD_A","DMSO",0,0.562314862852074,1.12784295349188,"","1886318-Y12-A081",50
"63","P23","OD_A","Ciprofloxacin",0.0128529111509046,0,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A081",50
"64","P24","OD_A","DMSO",0,0.514116446036182,1.07964453667598,"","1886318-Y12-A081",50
"65","A01","OD_A","DMSO",0,0.646708948112123,1.20508691794552,"","1886318-Y12-A082",50
"66","A02","OD_A","Ciprofloxacin",0,0.00315467779566889,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A082",50
"67","A23","OD_A","DMSO",0,0.5678420032204,1.12621997305379,"","1886318-Y12-A082",50
"68","A24","OD_A","DMSO",0,0.612007492359765,1.2271696625152,"","1886318-Y12-A082",50
"69","B01","OD_A","DMSO",0,0.552068614242056,1.07574512832309,"","1886318-Y12-A082",50
"70","B02","OD_A","Ciprofloxacin",0.00315467779566887,0.00315467779566887,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A082",50
"71","B23","OD_A","DMSO",0,0.495284413920016,0.981104794453025,"","1886318-Y12-A082",50
"72","B24","OD_A","DMSO",0,0.574151358811738,1.14199336203214,"","1886318-Y12-A082",50
