Compound,count
(+)-Camphor,28
(+)-Usnic acid,28
(-)-Cedrene,28
(-)-α-Pinene,28
(20R)-Protopanaxadiol,28
(E)-Methyl 4-coumarate,28
(S)-Tedizolid,28
(Z)-Ligustilide,28
"1,3-Dithiane",28
1-Kestose,28
1-Monomyristin,28
1-Naphthalenemethanol,28
2'-Aminoacetophenone,28
"2,2':5',2''-Terthiophene",28
"2,4-Dichlorobenzyl alcohol",28
"2,5-Dihydroxybenzaldehyde",28
"2,6-Dichlorodiphenylamine",28
2-Ethyl-6-methylphenol,28
2-Hydroxy-4-methoxybenzaldehyde,28
2-Methoxybenzaldehyde,28
2-Phenylethanol,28
"3,4,5-Trimethoxybenzaldehyde",28
3-Nitropropanoic acid,28
3-O-Methylgalangin,28
3-Pentanol,28
4'-Hydroxy-3'-methylacetophenone,28
4(3H)-Quinazolinone,28
4-Acetamidobutanoic acid,28
4-Aminosalicylic acid,28
4-Chlorosalicylic acid,28
4-Hydroxybenzoic acid,28
4-Hydroxycoumarin,28
4-Methoxyphenethyl alcohol,28
4-Methylherniarin,28
"5,6-Dihydroxyindole",28
"5,7-Dihydroxy-4-methylcoumarin",28
"5,7-Dihydroxycoumarin",28
5-Azacytidine,28
5-Hydroxypyrazine-2-Carboxylic Acid,28
6-Amino-5-azacytidine,28
6-Diazo-5-oxo-L-nor-Leucine,28
7-Aminocephalosporanic acid,28
8-Gingerol,28
8-Hydroxyquinoline,28
8-​O-​Acetylharpagide,28
9-Aminoacridine,28
A40926,28
AAI101,28
ABMA,28
AFN-1252,28
AU1235,28
AX20017,28
Abietic acid,28
Acetohydroxamic acid,28
Acetylspiramycin,28
Acridone,28
Actinonin,28
Acyclovir,28
Aflatoxin B1,28
Allicin,28
Allyl methyl sulfide,28
Aloin(mixture of A&B),28
Amentoflavone,28
Amikacin (disulfate),28
Aminothiazole,28
Amoxicillin,28
Amoxicillin (sodium),28
Amoxicillin (trihydrate),28
Ampicillin,28
Ampicillin (sodium),28
Anacardic Acid,28
Anhydrotetracycline (hydrochloride),28
Anisomycin,28
Ansamitocin P-3,28
Antibiotic-5d,28
Apramycin (sulfate),28
Aprepitant,28
Artemisic acid,28
Aucubin,28
Auranofin,28
Avibactam (sodium hydrate),28
Avibactam (sodium),28
Azaserine,28
Azathramycin,28
Azithromycin,28
Azlocillin (sodium salt),28
Azomycin,28
Aztreonam,28
BM212,28
BM635,28
BRITE-338733,28
BSH-IN-1,28
BTZ043,28
BTZ043 (Racemate),28
Bacampicillin (hydrochloride),28
Bacitracin,28
Bavachalcone,28
Bedaquiline,28
Bedaquiline (fumarate),28
Bekanamycin,28
Benzimidazole,28
Benzoic acid,28
Benzothiazole,28
Benzothiohydrazide,28
Benzoyleneurea,28
Benzydamine (hydrochloride),28
Benzyl isothiocyanate,28
Benzyldodecyldimethylammonium (chloride dihydrate),28
Berberine (chloride hydrate),28
Berberine (chloride),28
Bergenin,28
Bestatin,28
Bestatin (hydrochloride),28
Betamipron,28
Betulinaldehyde,28
Biapenem,28
Bicyclomycin benzoate,28
Bismuth subcarbonate,28
Brevianamide F,28
Bronopol,28
Broxaldine,28
Butylparaben,28
CCCP,28
CHIR-090,28
Cadazolid,28
Calcimycin,28
Camalexin,28
Capreomycin (sulfate),28
Caracemide,28
Carbadox,28
Carnosic acid,28
Cefaclor,28
Cefadroxil,28
Cefamandole (sodium),28
Cefazedone,28
Cefazolin,28
Cefazolin (sodium),28
Cefcapene pivoxil (hydrochloride),28
Cefdinir,28
Cefditoren (Pivoxil),28
Cefepime (Dihydrochloride Monohydrate),28
Cefetamet pivoxil (hydrochloride),28
Cefixime,28
Cefmenoxime (hydrochloride),28
Cefmetazole (sodium),28
Cefminox (sodium),28
Cefodizime,28
Cefodizime (sodium),28
Cefonicid (sodium),28
Cefoperazone,28
Cefoperazone (sodium salt),28
Ceforanide,28
Cefoselis (sulfate),28
Cefotaxime,28
Cefotaxime (sodium salt),28
Cefotetan,28
Cefoxitin,28
Cefoxitin (sodium),28
Cefozopran (hydrochloride),28
Cefpodoxime Proxetil,28
Cefprozil (monohydrate),28
Cefquinome (sulfate),28
Cefsulodin (sodium),28
Ceftaroline fosamil,28
Ceftazidime,28
Ceftazidime (pentahydrate),28
Ceftezole (sodium),28
Ceftibuten (dihydrate),28
Ceftiofur (sodium),28
Ceftizoxime,28
Cefuroxime (sodium),28
Cefuroxime axetil,28
Cephalexin,28
Cephalexin (monohydrate),28
Cephalothin (sodium),28
Cephapirin (sodium),28
Cephradine,28
Cetalkonium (chloride),28
Cetylpyridinium (chloride monohydrate),28
Cetylpyridinium (chloride),28
Chloramine-T,28
Chloramphenicol succinate (sodium),28
Chlorhexidine,28
Chlorhexidine (digluconate),28
Chlorobutanol,28
Chlorogenic acid,28
Chloroxine,28
Chloroxylenol,28
Chlorphenesin,28
Chlorprothixene,28
Chlorprothixene (hydrochloride),28
Chlorquinaldol,28
Chlortetracycline (hydrochloride),28
Ciclopirox,28
Ciclopirox (olamine),28
Cilastatin,28
Cinnamylideneacetic acid,28
Cinoxacin,28
Ciprofloxacin,23828
Citric acid,28
Citric acid (trilithium salt tetrahydrate),28
Citrinin,28
Clarithromycin,28
Clavulanate (lithium),28
Clinafloxacin,28
